	ID1	ID2	d_radians
22532	343.0	353.0	1.49011611938e-08
4594	47.0	150.0	4.88694480503e-06
312	4.0	21.0	8.65595871428e-06
1894	20.0	30.0	2.02962950698e-05
9135	102.0	406.0	2.82214853888e-05
24136	407.0	408.0	2.91469988761e-05
6926	75.0	491.0	7.33789614386e-05
19156	258.0	425.0	0.00163599879492
15271	189.0	314.0	0.00168184068856
23049	361.0	448.0	0.00583599917464
12531	146.0	339.0	0.00673988814537
12554	146.0	448.0	0.00803545707424
12536	146.0	361.0	0.0103958684497
2474	25.0	116.0	0.0104397712396
6026	64.0	443.0	0.0131807351211
16268	205.0	379.0	0.0135473804074
14948	184.0	263.0	0.0137249736062
22415	339.0	448.0	0.0143617271251
5186	54.0	410.0	0.0144394385034
6677	72.0	270.0	0.0147302350983
12310	143.0	244.0	0.0147934202643
21769	322.0	376.0	0.015932815612
9402	105.0	499.0	0.0160825205706
22397	339.0	361.0	0.0171080642597
24100	403.0	512.0	0.0178364755456
9851	112.0	200.0	0.0180854750925
24505	426.0	472.0	0.0194167316683
16089	202.0	326.0	0.0201881166848
2266	23.0	278.0	0.021649579394
21287	308.0	494.0	0.0225654565771
20332	284.0	493.0	0.0227650004096
10100	115.0	186.0	0.0230407531623
2889	29.0	54.0	0.0236678349491
7576	82.0	483.0	0.0239802630654
13163	155.0	393.0	0.0241465036254
2891	29.0	68.0	0.0241888388948
16541	210.0	357.0	0.02440422424
10609	121.0	222.0	0.0245539189891
22437	340.0	395.0	0.0246040122026
7669	84.0	182.0	0.0256962783143
3575	36.0	436.0	0.0259116122216
2961	29.0	410.0	0.0267851466288
687	7.0	323.0	0.027153112492
14979	184.0	421.0	0.02868526264
21642	319.0	347.0	0.0293407376746
19385	263.0	421.0	0.0293713170665
15015	185.0	274.0	0.0299292838719
9001	100.0	498.0	0.0300872943415
6259	67.0	269.0	0.0301787078284
20498	289.0	393.0	0.0303396636439
13402	159.0	488.0	0.0304865930272
12651	148.0	355.0	0.0305471075663
18180	239.0	259.0	0.0316962466583
11593	133.0	320.0	0.0319375957047
1325	13.0	425.0	0.0322170129332
6444	69.0	430.0	0.032291933329
1285	13.0	258.0	0.032390492144
12691	149.0	232.0	0.0325829461297
4438	45.0	332.0	0.0331825364678
24013	399.0	474.0	0.0340726482879
10057	114.0	428.0	0.0342645323278
17298	223.0	275.0	0.0344880623088
1374	14.0	154.0	0.0353981794139
22509	342.0	386.0	0.0359121657578
14727	180.0	451.0	0.0359709525991
1166	12.0	120.0	0.0361375458542
23672	386.0	425.0	0.0362762360814
12179	141.0	419.0	0.0369587200668
20676	294.0	386.0	0.0370221099771
22518	342.0	425.0	0.0373302565997
3539	36.0	278.0	0.0373469498421
19135	258.0	342.0	0.0374840161964
19147	258.0	386.0	0.0377354406112
11202	128.0	382.0	0.0377395912918
5833	62.0	257.0	0.0382522832727
23074	362.0	423.0	0.0382629487672
15430	192.0	255.0	0.0382804341614
