	DEC_degrees	ID	MAG	RA_degrees
273	42.91444	274	3.45	154.27417
274	33.36278	275	3.45	282.51999
275	3.23583	276	3.47	40.825
276	12.49028	277	3.47	60.17
277	-27.93472	278	3.47	105.42958
278	-52.98222	279	3.47	119.19458
279	33.31472	280	3.47	228.87582
280	19.49222	281	3.47	299.68918
281	33.09417	282	3.48	169.61958
282	14.39028	283	3.48	258.66208
283	24.60167	284	3.48	342.50082
284	-51.31694	285	3.49	342.13876
285	-15.9375	286	3.5	26.01708
286	40.39056	287	3.5	225.48666
287	-45.96833	288	3.51	276.74332
288	-21.10667	289	3.51	284.4325
289	9.18556	290	3.52	124.12875
290	9.89222	291	3.52	145.28751
291	16.76278	292	3.52	151.83333
292	66.20056	293	3.52	342.42001
293	19.18028	294	3.53	67.15417
294	21.98222	295	3.53	110.03083
295	-3.43028	296	3.53	237.405
296	38.92222	297	3.53	250.72417
297	6.19778	298	3.53	332.54999
298	-9.76333	299	3.54	55.81208
299	9.93417	300	3.54	83.78458
300	-54.56778	301	3.54	149.21584
301	-31.85778	302	3.54	173.25043
302	-15.39861	303	3.54	264.39667
303	-14.82194	304	3.55	86.73875
304	-46.05778	305	3.55	214.85083
305	-8.82389	306	3.56	4.85708
306	-51.51222	307	3.56	34.1275
307	-33.79833	308	3.56	64.47375
308	-14.77861	309	3.56	169.83542
309	-36.26139	310	3.56	230.45168
310	-66.18194	311	3.56	302.18167
311	48.62833	312	3.57	24.49833
312	24.39806	313	3.57	116.11167
313	-38.0175	314	3.57	253.08376
314	72.73278	315	3.57	275.26416
315	-12.54472	316	3.57	304.51376
316	16.54028	317	3.58	109.52333
317	30.37139	318	3.58	217.9575
318	-28.135	319	3.58	234.25626
319	-60.40111	320	3.59	185.34
320	-8.18333	321	3.6	21.00583
321	9.02889	322	3.6	51.20333
322	-6.84444	323	3.6	79.40167
323	-22.44833	324	3.6	86.11583
324	33.96111	325	3.6	103.19708
325	47.15667	326	3.6	135.90625
326	-40.46667	327	3.6	142.675
327	-37.96861	328	3.61	116.31375
328	-12.35417	329	3.61	152.64708
329	1.76472	330	3.61	177.67375
330	15.34583	331	3.62	22.87083
331	-52.92194	332	3.62	130.07333
332	-71.54889	333	3.62	195.5675
333	-42.36139	334	3.62	253.64583
334	-60.68389	335	3.62	262.77457
335	-64.72389	336	3.62	266.43332
336	42.32611	337	3.62	345.48041
337	27.26056	338	3.63	42.49583
338	24.05333	339	3.63	57.29042
339	14.59528	340	3.63	309.38751
340	-66.72861	341	3.64	176.40167
341	15.6275	342	3.65	64.94833
342	-1.44944	343	3.65	190.41499
343	64.37583	344	3.65	211.09708
344	-58.45417	345	3.65	313.70251
345	53.89694	346	3.66	9.24292
346	-29.77778	347	3.66	234.66417
347	-50.09167	348	3.66	271.65793
348	-21.1725	349	3.66	347.36166
349	63.06194	350	3.67	142.88208
350	15.42194	351	3.67	236.54707
351	-33.18639	352	3.68	130.89792
352	-1.44944	353	3.68	190.41499
353	29.10583	354	3.68	231.95708
354	-16.66222	355	3.68	325.02292
355	-21.75778	356	3.69	49.87917
356	5.605	357	3.69	72.80167
357	-62.50778	358	3.69	146.31168
358	3.28222	359	3.69	349.29126
359	-51.60889	360	3.7	28.98958
360	24.11333	361	3.7	56.21875
361	29.24778	362	3.7	269.44125
362	-14.16778	363	3.71	89.10125
363	47.77944	364	3.71	176.5125
364	4.47778	365	3.71	237.70416
365	6.40667	366	3.71	298.82834
366	2.44056	367	3.72	73.56292
367	54.28472	368	3.72	89.88167
368	1.89278	369	3.72	221.56207
369	43.92778	370	3.72	316.23291
370	38.04556	371	3.72	318.69791
371	-10.335	372	3.73	27.865
372	-9.45833	373	3.73	53.2325
373	-40.57583	374	3.73	118.05417
374	9.56389	375	3.73	271.83749
375	9.73278	376	3.74	51.7925
376	-22.41139	377	3.74	321.66666
377	-7.57972	378	3.74	343.15375
378	41.07583	379	3.75	75.61958
379	-47.09778	380	3.75	136.03876
380	19.15306	381	3.75	245.48
381	2.70722	382	3.75	266.97333
382	56.87278	383	3.75	268.38208
383	58.41528	384	3.75	337.29291
384	55.89556	385	3.76	42.67417
385	17.5425	386	3.76	65.73375
386	-62.48972	387	3.76	83.40625
387	-59.04139	388	3.76	252.44624
388	-77.39	389	3.76	325.36874
389	25.345	390	3.76	331.75293
390	42.57861	391	3.77	56.29833
391	-66.13694	392	3.77	126.43417
392	-21.74167	393	3.77	286.17084
393	53.36861	394	3.77	289.27582
394	15.91194	395	3.77	309.90958
395	-9.49583	396	3.77	311.91916
396	50.2825	397	3.77	337.82291
397	-70.49889	398	3.78	107.18708
398	-58.85333	399	3.78	163.37334
399	20.57028	400	3.79	106.02708
400	27.79806	401	3.79	111.43167
401	51.72972	402	3.79	292.42624
402	46.74139	403	3.79	303.40793
403	44.85722	404	3.8	47.37417
404	59.03861	405	3.8	147.7475
405	19.84056	406	3.8	154.99417
406	10.5375	407	3.8	233.70042
407	10.53917	408	3.8	233.70042
408	46.00639	409	3.8	264.86624
409	-2.6	410	3.81	84.68667
410	-20.87917	411	3.81	87.83042
411	-16.83639	412	3.81	156.52251
412	-30.56222	413	3.82	68.8875
413	36.8025	414	3.82	139.71124
414	-58.73944	415	3.82	156.96957
415	1.98389	416	3.82	247.72833
416	18.53417	417	3.82	296.84708
417	46.45806	418	3.82	354.39124
418	32.28833	419	3.83	56.07958
419	34.215	420	3.83	163.32793
420	-42.10083	421	3.83	209.56792
421	-79.04472	422	3.83	221.965
422	28.7625	423	3.83	271.88583
423	70.26778	424	3.83	297.04333
424	15.96222	425	3.84	67.14375
425	-46.64889	426	3.84	130.15668
426	-60.64472	427	3.84	133.76167
427	-48.22583	428	3.84	159.32542
428	69.33111	429	3.84	172.85083
429	26.29556	430	3.84	235.68584
430	21.76972	431	3.84	275.92459
431	-1.38722	432	3.84	335.41418
432	-64.80694	433	3.85	56.05
433	-51.06639	434	3.85	86.82125
434	-33.43639	435	3.85	95.52833
435	-26.77278	436	3.85	108.70292
436	-42.12194	437	3.85	153.68417
437	9.30667	438	3.85	158.20293
438	15.66167	439	3.85	239.11333
439	-63.68556	440	3.85	243.85957
440	-8.24417	441	3.85	278.80167
441	-42.29444	442	3.86	63.50042
442	-48.54111	443	3.86	189.42583
443	37.25056	444	3.86	269.06332
444	-21.05889	445	3.86	273.44083
445	38.49944	446	3.87	14.18833
446	-28.98694	447	3.87	48.01792
447	24.36778	448	3.87	56.45667
448	-14.30389	449	3.87	69.545
449	-35.47056	450	3.87	82.80292
450	-24.18389	451	3.87	103.53292
451	-72.13306	452	3.87	188.11667
452	69.78833	453	3.87	188.37083
453	-44.80361	454	3.87	209.67
454	-48.73778	455	3.87	227.98375
455	-45.7475	456	3.88	2.35292
456	2.31417	457	3.88	138.59125
457	26.00694	458	3.88	148.19083
458	-39.4075	459	3.88	202.76125
459	-5.65833	460	3.88	220.765
460	-29.21417	461	3.88	239.22125
461	-8.89806	462	3.89	44.10708
462	-54.49111	463	3.89	170.25166
463	-0.66694	464	3.89	184.97667
464	46.31333	465	3.89	244.935
465	-78.89722	466	3.89	248.3625
466	35.08333	467	3.89	299.07666
467	-3.90639	468	3.9	126.415
468	1.00556	469	3.9	298.11832
469	-45.24667	470	3.9	347.59
470	5.98917	471	3.91	60.78917
471	-46.04167	472	3.91	131.50708
472	-1.14278	473	3.91	144.96417
473	-58.975	474	3.91	167.14751
474	-50.23056	475	3.91	187.00999
475	-14.78944	476	3.91	233.88167
476	-55.24583	477	3.92	17.09625
477	30.92639	478	3.92	255.07249
478	5.24778	479	3.92	318.95584
479	-3.3525	480	3.93	69.07958
480	-9.55111	481	3.93	115.31167
481	-17.84722	482	3.93	290.41833
482	-43.68	483	3.94	6.55083
483	18.15417	484	3.94	131.17125
484	10.52917	485	3.94	170.98125
485	41.16722	486	3.94	314.29333
486	-49.07278	487	3.95	22.81292
487	52.7625	488	3.95	43.56458
488	-19.25583	489	3.95	99.17083
489	-72.60611	490	3.95	115.455
490	54.92167	491	3.95	200.985
491	-33.62722	492	3.95	237.73958
492	23.56556	493	3.95	341.63293
493	-34.01694	494	3.96	66.00917
494	-42.81528	495	3.96	89.78667
495	-32.50861	496	3.96	102.46042
496	-28.95472	497	3.96	115.95208
497	-52.36861	498	3.96	182.91292
498	-20.66917	499	3.96	241.70168
499	-72.91056	500	3.96	300.14792
500	39.14861	501	3.97	87.8725
501	-35.30833	502	3.97	130.02583
502	41.78278	503	3.97	135.16
503	-62.31722	504	3.97	137.81917
504	2.93167	505	3.97	270.16125
505	-40.61611	506	3.97	290.97168
506	-43.49556	507	3.97	337.3175
507	-20.10056	508	3.97	350.74249
508	72.42139	509	3.98	30.85875
509	-6.27472	510	3.98	93.71375
510	-67.95722	511	3.98	109.2075
511	47.71444	512	3.98	303.86792
512	-58.23583	513	3.99	349.35751
513	-21.07778	514	4.0	30.00125
514	-49.89028	515	4.0	43.47042
515	-66.39611	516	4.0	135.61166
516	-74.03167	517	4.0	156.09875
517	-37.79361	518	4.0	220.49001
